Colony ,ID,Timepoint,Time,Date,Spawned,Collection.Location,RNA.Extraction,RATIO 1,RATIO 2,Library.Nanodrop ng/µl,Library.Bioanalyzer,RNA.RIN,Sequencing.Type,Run.Number,Sequencing.Date,File.ID.R1,File.ID.R2,Number of Clusters,Number of reads,Purify/Fragment DNA to second strand cDNA synthesis,Perform End Repair,Adenylate and ligate adapters,Enrich DNA Fragments,Bioanalyzer date,Bioanalyzer Average Library size,qPCR date,qPCR concentration nM**,,Library pM,% PhiX
6,T5-6,Time5,20:00,6-Jun-16,NO,HIMB.Point.flat,20160614,2.04,2.34,473.6,9619,7.3,MiSeq 2x150,Run2,20161017,T5-6-includes-adapter_S2_L001_R1_001.fastq.gz,T5-6-includes-adapter_S2_L001_R2_001.fastq.gz,4508425,9016850,10/4/16,10/4/16,10/5/16,10/5/16,10/7/16,447,10/7/16,17.64,,8,2
8,T5-8,Time5,20:00,6-Jun-16,YES,HIMB.Point.flat,20160614,2.07,2.3,330.9,9717,7.5,MiSeq 2x150,Run3,20161019,T5-8-includes-adapter_S2_L001_R1_001.fastq.gz,T5-8-includes-adapter_S2_L001_R2_001.fastq.gz,5257196,10514392,10/4/16,10/4/16,10/5/16,10/5/16,10/7/16,441,10/11/16,16.25,,10,2
1,T7-1,Time7,0:00,7-Jun-16,NO,HIMB.Point.flat,20160616,2.07,2.29,487.4,14413,7.9,MiSeq 2x150,Run1,20161014,T7-1-includes-adapter_S3_L001_R1_001.fastq.gz,T7-1-includes-adapter_S3_L001_R2_001.fastq.gz,3480865,6961730,10/4/16,10/4/16,10/5/16,10/5/16,10/7/16,465,10/7/16,17.58,,6,2
10,T7-10,Time7,0:00,7-Jun-16,YES,HIMB.Point.flat,20160616,NA,NA,3738.5,16143,6.8,MiSeq 2x150,Run4,20161112,T7-10-includes-adapter_S3_L001_R1_001.fastq.gz,T7-10-includes-adapter_S3_L001_R2_001.fastq.gz,3767511,7535022,10/4/16,10/4/16,10/5/16,10/5/16,10/7/16,462,10/11/16,18.66,,,
16,T7-16,Time7,0:00,7-Jun-16,YES,HIMB.Point.slope,20160616,2.09,2.3,387.1,12679,8.5,MiSeq 2x150,Run5,20161115,T7-16-includes-adapter_S3_L001_R1_001.fastq.gz,T7-16-includes-adapter_S3_L001_R2_001.fastq.gz,4661903,9323806,10/4/16,10/4/16,10/5/16,10/5/16,10/11/16,475,10/12/16,19.9,,,
17,T7-17,Time7,0:00,7-Jun-16,NO,HIMB.Point.slope,20160616,2.14,2.4,274.3,17292,7.6,MiSeq 2x150,Run6,20161208,T7-17-includes-adapter_S3_L001_R1_001.fastq.gz,T7-17-includes-adapter_S3_L001_R2_001.fastq.gz,4349133,8698226,10/4/16,10/4/16,10/5/16,10/5/16,10/11/16,482,10/12/16,17.44,,,
6,T7-6,Time7,0:00,7-Jun-16,NO,HIMB.Point.flat,20160616,NA,NA,206.9,11481,7.9,MiSeq 2x150,Run2,20161017,T7-6-includes-adapter_S3_L001_R1_001.fastq.gz,T7-6-includes-adapter_S3_L001_R2_001.fastq.gz,4179337,8358674,10/4/16,10/4/16,10/5/16,10/5/16,10/7/16,474,10/7/16,18.38,,8,2
8,T7-8,Time7,0:00,7-Jun-16,YES,HIMB.Point.flat,20160616,NA,NA,2379,11677,7,MiSeq 2x150,Run3,20161019,T7-8-includes-adapter_S3_L001_R1_001.fastq.gz,T7-8-includes-adapter_S3_L001_R2_001.fastq.gz,4055930,8111860,10/4/16,10/4/16,10/5/16,10/5/16,10/7/16,466,10/11/16,22.05,,10,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
**The 1:20 dilutions were used for qPCR and the sequencing runs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
